timestamp,name,attribute_name,value
2024-06-05 11:30:52.155,PJU_KIJ_II_2,snr,8
2024-06-05 11:30:52.153,PJU_KIJ_II_2,rssi,-66
2024-06-05 11:29:18.53,PJU_KIJ_II_2,snr,8
2024-06-05 11:29:18.528,PJU_KIJ_II_2,rssi,-67
2024-06-05 11:29:11.236,PJU_KIJ_II_2,snr,9
2024-06-05 11:29:11.235,PJU_KIJ_II_2,rssi,-64
2024-06-05 11:27:11.803,PJU_KIJ_II_2,snr,10
2024-06-05 11:27:11.802,PJU_KIJ_II_2,rssi,-67
2024-06-05 11:26:57.651,PJU_KIJ_II_2,snr,12
2024-06-05 11:26:57.649,PJU_KIJ_II_2,rssi,-66
2024-06-05 11:26:44.576,PJU_KIJ_II_2,snr,11
2024-06-05 11:26:44.574,PJU_KIJ_II_2,rssi,-66
2024-06-05 11:26:37.441,PJU_KIJ_II_2,snr,12
2024-06-05 11:26:37.44,PJU_KIJ_II_2,rssi,-66
2024-06-05 11:26:32.5,PJU_KIJ_II_2,snr,11
2024-06-05 11:26:32.498,PJU_KIJ_II_2,rssi,-67
2024-06-05 11:17:33.219,PJU_KIJ_II_2,snr,9
2024-06-05 11:17:33.218,PJU_KIJ_II_2,rssi,-63
2024-06-05 10:17:56.056,PJU_KIJ_II_2,snr,11
2024-06-05 10:17:56.053,PJU_KIJ_II_2,rssi,-66
2024-06-05 09:16:59.371,PJU_KIJ_II_2,snr,11
2024-06-05 09:16:59.363,PJU_KIJ_II_2,rssi,-58
2024-06-05 09:13:59.542,PJU_KIJ_II_2,snr,7
2024-06-05 09:13:59.534,PJU_KIJ_II_2,rssi,-55
2024-06-05 09:13:28.789,PJU_KIJ_II_2,snr,11
2024-06-05 09:13:28.785,PJU_KIJ_II_2,rssi,-52
2024-06-11 09:26:08.311,PJU_KIJ_II_2,snr,11
2024-06-11 09:26:08.312,PJU_KIJ_II_2,rssi,-65
2024-06-11 11:22:32.966,PJU_KIJ_II_2,snr,8
2024-06-11 11:22:32.967,PJU_KIJ_II_2,rssi,-66
2024-06-11 11:22:36.872,PJU_KIJ_II_2,snr,8
2024-06-11 11:22:36.873,PJU_KIJ_II_2,rssi,-66
2024-06-11 11:29:23.003,PJU_KIJ_II_2,snr,7
2024-06-11 11:29:23.004,PJU_KIJ_II_2,rssi,-67
2024-06-11 12:22:58.765,PJU_KIJ_II_2,snr,8
2024-06-11 12:22:58.765,PJU_KIJ_II_2,rssi,-66
2024-06-11 12:23:01.846,PJU_KIJ_II_2,snr,11
2024-06-11 12:23:01.847,PJU_KIJ_II_2,rssi,-64
2024-06-11 13:23:52.223,PJU_KIJ_II_2,snr,11
2024-06-11 13:23:52.224,PJU_KIJ_II_2,rssi,-63
2024-06-11 13:23:55.186,PJU_KIJ_II_2,snr,11
2024-06-11 13:23:55.191,PJU_KIJ_II_2,rssi,-63
2024-06-11 14:00:36.52,PJU_KIJ_II_2,snr,7
2024-06-11 14:00:36.52,PJU_KIJ_II_2,rssi,-66
2024-06-11 14:23:06.856,PJU_KIJ_II_2,snr,9
2024-06-11 14:23:06.856,PJU_KIJ_II_2,rssi,-65
2024-06-11 14:23:09.96,PJU_KIJ_II_2,snr,9
2024-06-11 14:23:09.961,PJU_KIJ_II_2,rssi,-65
2024-06-11 15:22:08.858,PJU_KIJ_II_2,snr,8
2024-06-11 15:22:08.859,PJU_KIJ_II_2,rssi,-66
2024-06-11 15:22:11.922,PJU_KIJ_II_2,snr,11
2024-06-11 15:22:11.922,PJU_KIJ_II_2,rssi,-65
2024-06-11 16:22:31.278,PJU_KIJ_II_2,snr,11
2024-06-11 16:22:31.278,PJU_KIJ_II_2,rssi,-64
2024-06-11 16:22:34.4,PJU_KIJ_II_2,snr,9
2024-06-11 16:22:34.401,PJU_KIJ_II_2,rssi,-65
2024-06-11 17:22:22.371,PJU_KIJ_II_2,snr,9
2024-06-11 17:22:22.372,PJU_KIJ_II_2,rssi,-65
2024-06-11 17:22:25.213,PJU_KIJ_II_2,snr,11
2024-06-11 17:22:25.214,PJU_KIJ_II_2,rssi,-65
2024-06-13 04:24:00.775,PJU_KIJ_II_2,rssi,-63
2024-06-13 04:24:00.776,PJU_KIJ_II_2,snr,11
2024-06-13 04:24:09.029,PJU_KIJ_II_2,rssi,-63
2024-06-13 04:24:09.03,PJU_KIJ_II_2,snr,11
2024-06-13 04:51:38.732,PJU_KIJ_II_2,rssi,-67
2024-06-13 04:51:38.734,PJU_KIJ_II_2,snr,11
2024-06-13 04:53:29.241,PJU_KIJ_II_2,rssi,-61
2024-06-13 04:53:29.244,PJU_KIJ_II_2,snr,1
2024-06-13 05:24:03.22,PJU_KIJ_II_2,rssi,-62
2024-06-13 05:24:03.223,PJU_KIJ_II_2,snr,11
2024-06-13 05:24:11.409,PJU_KIJ_II_2,rssi,-61
2024-06-13 05:24:11.41,PJU_KIJ_II_2,snr,11
2024-06-13 06:25:02.18,PJU_KIJ_II_2,rssi,-60
2024-06-13 06:25:02.183,PJU_KIJ_II_2,snr,8
2024-06-13 06:25:10.521,PJU_KIJ_II_2,rssi,-61
2024-06-13 06:25:10.522,PJU_KIJ_II_2,snr,8
2024-06-13 07:25:29.366,PJU_KIJ_II_2,rssi,-63
2024-06-13 07:25:29.367,PJU_KIJ_II_2,snr,9
2024-06-13 07:25:37.662,PJU_KIJ_II_2,rssi,-63
2024-06-13 07:25:37.663,PJU_KIJ_II_2,snr,11
2024-06-13 07:44:15.046,PJU_KIJ_II_2,rssi,-62
2024-06-13 07:44:15.047,PJU_KIJ_II_2,snr,5
2024-06-13 08:01:25.224,PJU_KIJ_II_2,rssi,-61
2024-06-13 08:01:25.225,PJU_KIJ_II_2,snr,-2
2024-06-13 08:02:12.367,PJU_KIJ_II_2,rssi,-62
2024-06-13 08:02:12.369,PJU_KIJ_II_2,snr,-1
2024-06-13 08:25:00.835,PJU_KIJ_II_2,rssi,-63
2024-06-13 08:25:00.836,PJU_KIJ_II_2,snr,11
2024-06-13 08:25:09.106,PJU_KIJ_II_2,rssi,-63
2024-06-13 08:25:09.107,PJU_KIJ_II_2,snr,11
2024-06-13 09:05:13.365,PJU_KIJ_II_2,rssi,-64
2024-06-13 09:05:13.366,PJU_KIJ_II_2,snr,2
2024-06-13 09:05:31.122,PJU_KIJ_II_2,rssi,-65
2024-06-13 09:05:31.123,PJU_KIJ_II_2,snr,1
2024-06-13 09:05:42.245,PJU_KIJ_II_2,rssi,-67
2024-06-13 09:05:42.245,PJU_KIJ_II_2,snr,8
2024-06-13 09:05:51.386,PJU_KIJ_II_2,rssi,-62
2024-06-13 09:05:51.386,PJU_KIJ_II_2,snr,2
2024-06-13 09:25:43.316,PJU_KIJ_II_2,rssi,-64
2024-06-13 09:25:43.317,PJU_KIJ_II_2,snr,8
2024-06-13 09:25:51.397,PJU_KIJ_II_2,rssi,-64
2024-06-13 09:25:51.397,PJU_KIJ_II_2,snr,8
2024-06-13 09:38:03.042,PJU_KIJ_II_2,rssi,-65
2024-06-13 09:38:03.043,PJU_KIJ_II_2,snr,9
2024-06-13 09:38:17.129,PJU_KIJ_II_2,rssi,-66
2024-06-13 09:38:17.13,PJU_KIJ_II_2,snr,9
2024-06-13 09:38:34.504,PJU_KIJ_II_2,rssi,-65
2024-06-13 09:38:34.505,PJU_KIJ_II_2,snr,11
2024-06-13 09:38:51.214,PJU_KIJ_II_2,rssi,-61
2024-06-13 09:38:51.215,PJU_KIJ_II_2,snr,-2
2024-06-13 09:39:02.584,PJU_KIJ_II_2,rssi,-65
2024-06-13 09:39:02.585,PJU_KIJ_II_2,snr,9
2024-06-13 09:39:31.978,PJU_KIJ_II_2,rssi,-65
2024-06-13 09:39:31.979,PJU_KIJ_II_2,snr,4
2024-06-13 09:39:35.844,PJU_KIJ_II_2,rssi,-64
2024-06-13 09:39:35.845,PJU_KIJ_II_2,snr,12
2024-06-13 09:42:58.398,PJU_KIJ_II_2,rssi,-68
2024-06-13 09:42:58.398,PJU_KIJ_II_2,snr,-3
2024-06-13 09:44:11.193,PJU_KIJ_II_2,rssi,-65
2024-06-13 09:44:11.193,PJU_KIJ_II_2,snr,11
2024-06-13 09:44:24.642,PJU_KIJ_II_2,rssi,-63
2024-06-13 09:44:24.642,PJU_KIJ_II_2,snr,8
2024-06-13 09:44:32.275,PJU_KIJ_II_2,rssi,-61
2024-06-13 09:44:32.276,PJU_KIJ_II_2,snr,1
2024-06-13 10:00:04.515,PJU_KIJ_II_2,rssi,-65
2024-06-13 10:00:04.515,PJU_KIJ_II_2,snr,0
2024-06-13 10:00:25.661,PJU_KIJ_II_2,rssi,-66
2024-06-13 10:00:25.662,PJU_KIJ_II_2,snr,9
2024-06-13 10:00:36.652,PJU_KIJ_II_2,rssi,-63
2024-06-13 10:00:36.653,PJU_KIJ_II_2,snr,-2
